municipio_6,ano,populacao,nome_municipio,qtd_internacoes_uti,qtd_internacoes_icsap_uti,soma_val_tot,soma_dias_perm,qtd_estabelecimentos_media,qtd_leitos_existentes_media,qtd_leitos_sus_media,siops_dotacao_atualizada,siops_despesa_empenhada,siops_despesa_liquidada,siops_despesa_paga
355385,2022,6876,Taquarivaí - SP,31,5,208630.96,311,6.181818181818182,,,,,,
355390,2022,6536,Tarabai - SP,68,12,600475.4,1047,8.0,,,,,,
355395,2022,14882,Tarumã - SP,123,21,685416.47,1129,23.0,,,,,,
355400,2022,123942,Tatuí - SP,632,103,4614464.15,8389,396.3333333333333,158.41666666666666,92.33333333333333,,,,
355410,2022,310739,Taubaté - SP,1517,219,16344562.14,23335,900.75,587.0,424.1666666666667,,,,
355420,2022,4127,Tejupá - SP,14,3,124116.24,135,4.0,,,,,,
355430,2022,22173,Teodoro Sampaio - SP,107,15,957779.4299999999,1588,43.916666666666664,58.0,52.0,,,,
355440,2022,7904,Terra Roxa - SP,49,4,402293.7,445,17.0,34.0,30.0,,,,
355450,2022,37663,Tietê - SP,76,8,676208.66,1198,149.25,56.0,34.0,,,,
355460,2022,2464,Timburi - SP,29,7,247896.26,285,3.0,,,,,,
355465,2022,2046,Torre de Pedra - SP,11,1,101867.62,130,4.0,,,,,,
355470,2022,9335,Torrinha - SP,74,11,641267.1,1019,8.0,20.0,13.0,,,,
355475,2022,1682,Trabiju - SP,9,1,59653.65,79,2.0,,,,,,
355480,2022,51173,Tremembé - SP,199,33,1793436.58,2526,47.25,10.0,0.0,,,,
355490,2022,6804,Três Fronteiras - SP,87,26,618620.48,828,4.75,,,,,,
355495,2022,6778,Tuiuti - SP,32,3,228499.32,308,7.0,,,,,,
355500,2022,63928,Tupã - SP,956,235,4770752.67,9745,246.25,379.6666666666667,361.0,,,,
355510,2022,15854,Tupi Paulista - SP,132,36,1061043.83,1392,56.416666666666664,48.0,30.0,,,,
355520,2022,1818,Turiúba - SP,11,2,125700.86,189,2.0,,,,,,
355530,2022,1669,Turmalina - SP,25,3,509920.11,544,4.0,,,,,,
355535,2022,5365,Ubarana - SP,56,14,601555.91,800,3.0,,,,,,
355540,2022,92981,Ubatuba - SP,554,107,4098880.75,6645,71.5,111.16666666666667,85.83333333333333,,,,
355550,2022,5132,Ubirajara - SP,43,9,318053.31,412,6.583333333333333,,,,,,
355560,2022,10394,Uchoa - SP,106,23,1241561.95,1310,28.0,,,,,,
355570,2022,1603,União Paulista - SP,18,2,223849.72,172,3.0,,,,,,
355580,2022,8833,Urânia - SP,97,12,644748.44,709,9.5,26.0,24.0,,,,
355590,2022,1387,Uru - SP,24,6,175966.78,273,3.0,,,,,,
355600,2022,13744,Urupês - SP,87,8,905547.93,968,29.166666666666668,34.0,11.0,,,,
355610,2022,14098,Valentim Gentil - SP,101,9,923088.3099999999,1178,22.0,,,,,,
355620,2022,126373,Valinhos - SP,819,205,4252497.11,8598,455.6666666666667,203.08333333333334,66.83333333333333,,,,
355630,2022,24241,Valparaíso - SP,112,22,1161602.89,1427,43.75,55.0,31.0,,,,
355635,2022,10512,Vargem - SP,68,13,504161.45999999996,640,3.0,,,,,,
355640,2022,40133,Vargem Grande do Sul - SP,117,7,968794.95,1162,122.66666666666667,50.0,31.0,,,,
355645,2022,50415,Vargem Grande Paulista - SP,240,21,1903591.11,3115,50.75,40.0,0.0,,,,
355650,2022,115771,Várzea Paulista - SP,432,69,3025585.34,4663,55.75,35.833333333333336,32.0,,,,
355660,2022,10176,Vera Cruz - SP,74,11,755822.0,1112,22.083333333333332,72.0,0.0,,,,
355670,2022,76540,Vinhedo - SP,115,13,1373737.79,1919,314.5833333333333,105.5,62.833333333333336,,,,
355680,2022,17414,Viradouro - SP,72,11,571173.48,616,45.916666666666664,48.0,30.0,,,,
355690,2022,8109,Vista Alegre do Alto - SP,34,9,254612.93,344,8.272727272727273,,,,,,
355695,2022,1794,Vitória Brasil - SP,14,3,157565.58000000002,187,3.0,,,,,,
355700,2022,127923,Votorantim - SP,667,164,4306490.14,8078,122.5,180.41666666666666,86.83333333333333,,,,
355710,2022,96634,Votuporanga - SP,655,65,5777866.62,7003,443.4166666666667,265.6666666666667,137.0,,,,
355715,2022,2692,Zacarias - SP,30,6,322444.55,279,3.0,,,,,,
355720,2022,12211,Chavantes - SP,93,18,730190.86,810,24.0,51.0,30.0,,,,
355730,2022,11295,Estiva Gerbi - SP,68,10,452719.51,706,16.454545454545453,,,,,,
350010,2023,34687,Adamantina - SP,340,61,2034558.55,3406,160.25,233.41666666666666,174.91666666666666,30486970.49,29801196.07,29516736.76,28821469.24
350020,2023,4351,Adolfo - SP,53,20,431688.77999999997,450,5.25,,,7261315.68,6873029.58,6873029.58,6794078.66
350030,2023,32072,Aguaí - SP,212,39,1443279.49,1818,69.66666666666667,24.0,24.0,25014512.17,23940505.4,23680054.29,23490310.38
350040,2023,7369,Águas da Prata - SP,52,13,340848.43,498,6.2727272727272725,,,7236525.0,7147653.92,7057134.58,6969043.88
350050,2023,17930,Águas de Lindóia - SP,84,11,870376.15,1166,47.333333333333336,42.0,30.0,23451992.91,14809288.09,14723972.06,14544264.74
350055,2023,7177,Águas de Santa Bárbara - SP,40,9,318023.18,521,10.0,,,10301274.0,10055011.99,9886490.07,9753829.43
350060,2023,2780,Águas de São Pedro - SP,24,4,172599.33000000002,245,5.416666666666667,,,10303778.29,6158492.21,6007423.03,5888326.88
350070,2023,37680,Agudos - SP,285,45,2048828.43,3405,35.916666666666664,54.0,38.0,49269793.79,48888240.71,47734176.3,47321339.35
350075,2023,6141,Alambari - SP,26,4,164477.63,328,10.0,,,5861058.19,5833653.78,5761686.24,5659848.34
350080,2023,4445,Alfredo Marcondes - SP,29,3,270479.48,384,5.7,,,4712874.0,4525800.85,4368572.91,4112345.04
350090,2023,3451,Altair - SP,35,9,158869.87,232,8.0,,,6102780.0,9883102.56,9883102.56,9883102.56
350100,2023,16818,Altinópolis - SP,112,25,956529.0700000001,1138,46.333333333333336,22.083333333333332,20.083333333333332,17197116.38,16728144.57,16530555.73,16361160.86
350110,2023,3841,Alto Alegre - SP,42,7,177615.13,240,8.0,22.0,19.0,8068965.0,8414762.81,8414762.81,8414762.81
350115,2023,17301,Alumínio - SP,71,12,618456.34,1191,16.0,120.0,0.0,26716984.0,25157164.69,23351367.64,22766857.53
350120,2023,3915,Álvares Florence - SP,35,8,268906.92,257,6.0,,,7598000.0,7044592.21,8360747.83,7454450.17
350130,2023,27255,Álvares Machado - SP,128,29,1146564.22,1700,24.0,18.833333333333332,16.833333333333332,15300550.0,15052299.54,14699185.59,14579950.04
350140,2023,4808,Álvaro de Carvalho - SP,40,11,282878.73,355,3.5833333333333335,,,4414540.45,4391889.64,4348736.5,4292368.4
350150,2023,2885,Alvinlândia - SP,27,7,317472.87,435,3.0,,,3602443.04,3422878.78,3308833.7,3308833.7
350160,2023,237240,Americana - SP,820,178,6311205.41,11923,1046.6666666666667,536.8333333333334,162.0,173246049.74,209206079.75,197639160.95,180796351.06
350170,2023,33019,Américo Brasiliense - SP,196,52,1232910.48,1918,34.416666666666664,267.6666666666667,267.6666666666667,37198232.76,35583348.23,33874170.13,32653173.53
350180,2023,5870,Américo de Campos - SP,68,6,500621.69,540,9.833333333333334,,,7743539.94,7301498.22,7300448.18,6856511.9
350190,2023,68008,Amparo - SP,422,73,2777098.44,4262,306.8333333333333,386.0,224.0,86443376.9,72050600.26,71270337.28,67137786.33
350200,2023,4589,Analândia - SP,15,2,98693.96,156,7.375,,,8142825.31,8005253.05,7837175.24,7731770.8
350210,2023,59783,Andradina - SP,490,148,2766985.52,4283,297.0,129.75,93.5,56200600.0,52893799.18,52759323.74,51948181.29
350220,2023,24022,Angatuba - SP,116,15,903714.23,1566,45.25,57.0,54.0,28967768.86,28055863.1,28043234.02,28043234.02
350230,2023,5674,Anhembi - SP,38,4,382330.85,508,8.916666666666666,,,12175100.0,12127810.35,12093567.26,11851707.08
350240,2023,4023,Anhumas - SP,24,4,185565.03,303,9.0,,,4528674.66,4331119.55,4184500.87,4076774.82
350250,2023,32569,Aparecida - SP,364,60,2585786.07,4064,46.0,101.0,78.0,20431500.14,19486313.47,18733668.98,18547572.55
350260,2023,4086,Aparecida d'Oeste - SP,63,13,587603.2,689,7.0,14.0,13.0,7439417.17,6707957.98,6707957.98,5861104.41
350270,2023,24585,Apiaí - SP,115,33,653480.23,1094,47.833333333333336,52.333333333333336,47.0,13983724.05,13485291.6,13361675.85,13086362.2
350275,2023,21522,Araçariguama - SP,73,18,527268.05,1031,21.0,,,37656471.51,37640660.15,37085562.5,31753058.84
350280,2023,200124,Araçatuba - SP,1190,269,10834721.27,13890,499.5,505.0,342.0,128715643.05,123773812.64,120339127.61,114875532.46
350290,2023,32443,Araçoiaba da Serra - SP,136,20,1234976.41,2399,37.083333333333336,330.0,45.0,24133304.73,20842259.55,19878045.02,19533561.86
350300,2023,5420,Aramina - SP,62,21,359765.72,515,11.666666666666666,,,8019796.28,7633816.47,7387487.75,7106466.36
350310,2023,6885,Arandu - SP,30,7,294237.74,362,5.555555555555555,6.0,6.0,9149090.0,8866957.76,8798587.51,8671477.81
350315,2023,2330,Arapeí - SP,16,4,102062.27,149,3.0,,,5812171.8,5665958.88,5662100.4,5652692.93
350320,2023,242228,Araraquara - SP,1193,239,8929786.08,12988,879.1666666666666,594.5,310.0833333333333,294590058.16,293254505.69,289609913.3,260970227.41
350330,2023,130866,Araras - SP,715,95,5568135.88,8366,339.5,482.9166666666667,214.66666666666666,83317008.0,94427048.11,94355164.55,86330699.93
350335,2023,2044,Arco-Íris - SP,32,11,200305.04,367,2.0,,,4751350.0,4264183.51,4155096.85,4155096.85
350340,2023,8130,Arealva - SP,66,14,363193.14,581,13.583333333333334,32.0,15.0,7505645.96,7359936.66,7242918.82,7174399.73
350350,2023,3577,Areias - SP,37,8,278046.06,423,5.0,,,4753234.45,4724188.28,4703721.77,4453151.82
350360,2023,10130,Areiópolis - SP,52,7,546248.99,656,13.909090909090908,,,8661458.28,7890692.87,7887542.87,7524331.38
350370,2023,7602,Ariranha - SP,51,9,330760.13,412,15.083333333333334,,,12398385.57,11362144.6,10779314.39,10482735.19
350380,2023,51456,Artur Nogueira - SP,162,25,1808764.25,2463,90.16666666666667,12.0,12.0,42090626.7,39124467.04,38854355.27,38540391.15
350390,2023,86678,Arujá - SP,322,37,2466904.04,3755,71.58333333333333,33.0,33.0,104548883.43,99363249.5,97649215.33,97332742.93
350395,2023,1842,Aspásia - SP,26,6,220008.19,237,2.0,,,3968361.94,3871717.88,3848885.34,3838662.41
350400,2023,101409,Assis - SP,1209,331,7470296.78,11145,511.25,337.0,193.0,71399171.63,63582199.08,62588437.62,62167071.27
350410,2023,158647,Atibaia - SP,568,74,5500578.73,7801,417.9166666666667,271.5,66.0,161056322.85,158836831.75,158047905.34,155205919.84
350420,2023,13692,Auriflama - SP,63,7,511254.49,645,31.5,44.0,35.0,16451983.87,14960151.56,14427822.1,14380791.53
350430,2023,4483,Avaí - SP,35,9,288722.43,540,3.3333333333333335,,,7000112.64,6462956.88,6462956.88,6351866.33
350440,2023,11263,Avanhandava - SP,116,27,790251.9,1178,18.833333333333332,,,11304400.0,10898680.77,10620680.77,10520664.8
350450,2023,92805,Avaré - SP,623,142,6169120.03,8258,291.5833333333333,204.5,157.5,84557919.29,79395752.17,74372782.05,70395127.57
350460,2023,27260,Bady Bassitt - SP,309,83,3009067.99,3163,15.333333333333334,,,27876000.0,25074542.79,24575796.23,23688270.49
350470,2023,3887,Balbinos - SP,13,2,81319.62,256,4.875,,,5292410.0,5203028.9,5203028.9,5093818.93
350480,2023,9596,Bálsamo - SP,147,37,1633270.53,1357,7.666666666666667,,,9371800.41,9370415.06,9286722.08,8694922.8
350490,2023,9969,Bananal - SP,57,10,479141.01,722,14.909090909090908,15.0,15.0,9632425.45,8940162.02,8929169.24,8765952.36
350500,2023,3531,Barão de Antonina - SP,9,2,76401.42,98,4.0,,,6523700.0,6368967.92,6348765.55,6278942.22
350510,2023,5640,Barbosa - SP,67,21,316668.06,502,3.0,,,8124546.0,7692793.04,7630336.57,7495382.79
350520,2023,31595,Bariri - SP,191,34,1628271.04,2301,90.41666666666667,65.0,52.0,30998241.59,30138108.76,29781024.59,29663886.46
350530,2023,34346,Barra Bonita - SP,181,39,1464014.47,2020,104.66666666666667,68.0,41.75,36024031.0,34802247.94,32713136.57,32428668.69
350535,2023,5179,Barra do Chapéu - SP,22,4,169605.76,275,6.5,,,6637352.53,6210708.0,5971395.39,5776947.02
350540,2023,6876,Barra do Turvo - SP,38,9,401151.27,901,8.0,,,9491000.0,9309277.33,9239808.37,8791137.04
350550,2023,122485,Barretos - SP,1281,287,10204205.57,12826,347.0833333333333,612.0,497.0,101879881.01,99403294.26,97453978.61,95602605.0
350560,2023,32092,Barrinha - SP,182,25,1527334.86,1980,42.25,,,24938960.52,24713933.47,24670554.47,24521215.02
350570,2023,316473,Barueri - SP,1891,260,15813621.21,26504,489.1666666666667,618.3333333333334,506.0,1106809100.0,1088193677.24,1069534822.99,1066037234.74
350580,2023,21503,Bastos - SP,243,54,1602107.95,2554,38.25,30.0,23.0,25986021.5,22290886.13,21514170.27,21077252.87
350590,2023,58402,Batatais - SP,609,106,4577627.46,6257,296.3333333333333,141.0,108.0,46831533.37,43730489.75,42691660.63,42061209.59
350600,2023,379146,Bauru - SP,2578,452,17705635.02,32639,950.8333333333334,1587.8333333333333,864.0833333333334,245104074.71,228156413.13,223626036.38,213238497.98
350610,2023,76373,Bebedouro - SP,308,35,3243663.47,3154,348.6666666666667,192.0,126.83333333333333,46995178.94,80520233.95,79119150.55,72356130.02
350620,2023,2606,Bento de Abreu - SP,9,3,156006.40000000002,188,3.0,,,7112100.0,6770610.68,6770610.68,6680609.71
350630,2023,11607,Bernardino de Campos - SP,102,19,721258.33,951,20.0,24.666666666666668,24.666666666666668,12474576.35,12069474.58,11849800.72,11619796.66
350635,2023,64188,Bertioga - SP,257,41,2282213.5,3760,86.75,49.0,49.0,108342173.89,101402649.14,99396601.15,98249335.29
350640,2023,7319,Bilac - SP,25,5,189752.21,191,12.454545454545455,36.0,35.0,8764277.0,8063022.25,8043447.06,7948821.94
350650,2023,118979,Birigui - SP,685,163,5201621.7700000005,7823,273.8333333333333,163.91666666666666,76.0,97636973.83,97405482.22,94551467.37,82157085.28
350660,2023,29683,Biritiba Mirim - SP,173,25,1339008.35,2232,23.083333333333332,8.5,8.5,17308100.96,16833076.83,16508261.24,16317941.56
350670,2023,12978,Boa Esperança do Sul - SP,83,19,743872.55,862,20.083333333333332,16.0,15.0,14879503.95,14545051.51,14317641.54,14030102.55
350680,2023,11259,Bocaina - SP,82,16,660194.55,1012,21.583333333333332,18.0,18.0,11644627.0,10898145.12,10809055.26,10133031.71
350690,2023,10460,Bofete - SP,61,8,606005.46,716,9.416666666666666,,,13562984.17,12352327.6,11493248.19,11214659.22
350700,2023,61081,Boituva - SP,214,32,1982280.29,3672,131.83333333333334,54.0,39.0,59015713.65,58875223.13,56441891.79,55948523.73
350710,2023,22006,Bom Jesus dos Perdões - SP,116,17,943695.69,1148,21.833333333333332,13.0,13.0,27441991.22,25979967.3,24500367.57,24205970.08
350715,2023,3555,Bom Sucesso de Itararé - SP,20,5,100027.74,182,6.818181818181818,,,6374169.7,5973187.01,5958224.14,5920353.48
350720,2023,907,Borá - SP,9,2,71459.41,93,2.0,,,4892288.15,4639258.46,4567775.94,4513793.32
350730,2023,4715,Boracéia - SP,38,5,202918.84,322,5.6,,,9398000.0,7761171.26,7746100.26,7746100.26
350740,2023,14226,Borborema - SP,109,24,808758.27,840,38.166666666666664,26.0,16.0,19656037.56,18236682.44,16852440.02,16811997.05
350745,2023,2713,Borebi - SP,23,5,127661.03,240,4.0,,,6409007.41,5435906.44,5337880.46,5212436.03
350750,2023,145155,Botucatu - SP,824,125,8223035.74,9062,748.1666666666666,935.0,605.0,107487797.92,105777977.52,104388174.24,103980800.32
350760,2023,176811,Bragança Paulista - SP,915,104,7113788.55,9764,482.5833333333333,458.0,251.0,117271827.23,137524932.99,132598202.85,127364383.24
350770,2023,5356,Braúna - SP,53,15,347233.58999999997,410,3.5,,,7168908.0,6984880.77,6984880.77,6945430.18
350775,2023,2565,Brejo Alegre - SP,20,4,235420.16,160,4.0,,,6037063.61,5631502.25,5544392.94,5510681.15
350780,2023,25201,Brodowski - SP,201,32,1533308.01,1943,57.0,,,21902543.59,21229435.57,20896987.1,18104010.27
350790,2023,23898,Brotas - SP,156,33,1176239.75,1681,80.33333333333333,42.0,36.0,34124895.02,32873543.99,31189316.59,30301127.63
350800,2023,20250,Buri - SP,125,17,1120264.98,1764,22.333333333333332,,,21710800.0,20008332.16,19742887.18,19570605.2
350810,2023,17210,Buritama - SP,92,15,775779.73,1044,29.833333333333332,42.0,27.0,21460148.0,19892008.36,19695690.56,19652469.16
350820,2023,4356,Buritizal - SP,35,4,182862.79,282,6.0,,,10216700.0,9589519.88,9410205.06,9130096.68
350830,2023,4299,Cabrália Paulista - SP,45,5,341131.75,583,4.0,,,7160045.63,6486390.18,6486390.18,6486390.18
350840,2023,47011,Cabreúva - SP,256,44,1520659.21,2433,44.25,65.83333333333333,14.5,76622051.91,67580615.31,66597400.97,65495805.45
350850,2023,96202,Caçapava - SP,641,149,4377810.13,7060,344.0833333333333,216.25,92.25,78744969.32,71943637.48,69506741.65,66397435.82
350860,2023,31564,Cachoeira Paulista - SP,322,66,2085194.6199999999,3342,77.41666666666667,32.0,32.0,20792906.0,20789840.47,20209186.71,18841196.19
350870,2023,17101,Caconde - SP,95,19,601886.9,778,44.75,51.0,51.0,10242100.0,10120715.95,10036524.32,10036524.32
350880,2023,16654,Cafelândia - SP,102,22,753204.63,1087,45.583333333333336,46.5,35.5,19349607.65,18476899.22,18247110.43,17314894.45
350890,2023,3712,Caiabu - SP,19,3,137526.01,225,5.0,,,4468832.55,4366946.12,4335727.62,4270467.3
350900,2023,95032,Caieiras - SP,340,57,3062247.12,5061,96.33333333333333,152.91666666666666,86.0,70104058.41,68282205.18,62800427.54,62195256.84
350910,2023,5466,Caiuá - SP,27,6,254210.09,332,7.0,,,6211000.0,6132332.63,6049825.76,5668294.68
350920,2023,92689,Cajamar - SP,262,37,2421359.17,3540,107.33333333333333,151.0,41.0,151956694.0,148728011.43,146156438.18,143447798.11
350925,2023,28515,Cajati - SP,182,47,1120518.59,1958,45.166666666666664,,,39913300.0,33099779.81,32340113.2,31843091.95
350930,2023,9133,Cajobi - SP,92,17,704572.83,974,11.75,32.0,21.0,9535000.0,8842780.62,8828376.42,8695039.57
350940,2023,23830,Cajuru - SP,134,18,1246715.71,1538,78.83333333333333,140.0,55.0,23783536.85,23057487.28,22447269.33,21698266.85
350945,2023,5954,Campina do Monte Alegre - SP,49,4,378209.15,448,5.0,,,6374419.14,5750267.03,5171573.69,5016848.69
350950,2023,1139047,Campinas - SP,6865,1183,61805534.41,98934,2636.9166666666665,3571.5833333333335,1705.5,1339724775.0,1310609622.96,1288269234.71,1250088521.12
350960,2023,77632,Campo Limpo Paulista - SP,722,206,4496105.51,6929,49.25,66.0,66.0,78735038.02,61383212.64,58448289.68,57354316.74
350970,2023,46974,Campos do Jordão - SP,246,36,2413749.5100000002,3208,94.33333333333333,195.0,185.0,54753875.21,51635788.3,50641047.91,50316650.53
350980,2023,4888,Campos Novos Paulista - SP,30,5,298577.38,314,5.0,,,7462141.0,7267425.73,7190166.25,7158241.81
350990,2023,12289,Cananéia - SP,102,28,743155.3,1284,9.0,,,5721000.0,12505366.48,12271574.18,11365671.42
350995,2023,4931,Canas - SP,67,24,485680.81,614,3.4166666666666665,,,5473628.21,4960615.43,4908718.13,4840436.12
351000,2023,29449,Cândido Mota - SP,199,36,1397649.14,1802,84.33333333333333,30.0,25.0,8153540.81,19381626.09,19345377.45,19334705.68
351010,2023,2889,Cândido Rodrigues - SP,15,5,112688.04000000001,138,2.0,,,5606898.0,5277774.74,5277774.74,5131961.39
351015,2023,6283,Canitar - SP,50,8,346776.47,516,4.833333333333333,,,5550365.78,5167698.69,5121768.06,5029995.72
351020,2023,46337,Capão Bonito - SP,251,52,1642601.22,2674,56.083333333333336,63.0,55.0,35371500.0,33455238.37,32701769.16,32258556.04
351030,2023,22866,Capela do Alto - SP,94,18,728801.23,1522,19.166666666666668,59.0,14.0,15519710.0,14966500.89,14232534.22,13963768.59
351040,2023,50068,Capivari - SP,345,84,2301106.58,3513,143.66666666666666,121.0,68.0,38030658.26,37813417.56,37696689.36,36792490.76
351050,2023,134873,Caraguatatuba - SP,1417,453,8073942.0,15966,246.58333333333334,399.0,329.0,199237350.18,195967910.04,195220728.92,188512249.71
351060,2023,386984,Carapicuíba - SP,2186,396,18108938.54,32877,136.16666666666666,332.0,275.0,126246184.1,120186783.89,119240436.69,118302881.28
351070,2023,11345,Cardoso - SP,117,9,1070255.3900000001,1095,22.25,31.0,10.0,11965139.95,11934802.48,11694599.86,10800988.7
351080,2023,28083,Casa Branca - SP,86,11,587829.45,778,92.25,406.0,398.0,26371060.0,25666282.6,25663642.6,25355461.21
351090,2023,2799,Cássia dos Coqueiros - SP,31,3,274717.58999999997,345,5.0,,,4605174.73,4578502.0,4390148.5,4353826.73
351100,2023,19977,Castilho - SP,152,40,853906.57,1225,35.333333333333336,31.0,30.0,35372237.71,34464868.66,34309881.8,34307547.31
351110,2023,115791,Catanduva - SP,797,145,6536955.56,8326,605.6666666666666,685.25,421.0,75391207.42,67265013.52,66747524.94,64845813.76
351120,2023,7003,Catiguá - SP,53,15,410133.0,464,15.090909090909092,,,8485151.39,7822967.94,7822345.5,7633363.78
351130,2023,12618,Cedral - SP,126,39,1118242.49,1119,17.583333333333332,60.0,0.0,14936545.66,14539202.4,13772702.77,13552865.09
351140,2023,21469,Cerqueira César - SP,130,14,1346328.6199999999,1495,35.75,39.25,34.583333333333336,20426328.73,19580616.47,19550147.06,19298115.88
351150,2023,44695,Cerquilho - SP,134,16,1152082.07,1755,143.25,40.0,27.0,42451000.0,39991761.09,39986343.73,39986343.73
351160,2023,19048,Cesário Lange - SP,57,2,358257.14,718,20.583333333333332,27.0,23.0,20486155.3,20060782.22,19772405.56,19772405.56
351170,2023,15535,Charqueada - SP,107,34,847544.0,938,23.416666666666668,33.0,26.0,14858345.6,13324835.98,12567683.0,11913063.74
351190,2023,6982,Clementina - SP,43,10,357410.05,500,11.9,24.0,21.0,7933321.0,7576931.73,7552888.87,7552888.87
351200,2023,18486,Colina - SP,274,88,1399475.93,2302,46.916666666666664,64.0,51.0,28323687.92,27882317.43,27454281.71,26749262.18
351210,2023,6629,Colômbia - SP,67,17,635636.01,912,12.166666666666666,20.0,20.0,16083342.87,15224401.42,14850194.9,14327262.14
351220,2023,28101,Conchal - SP,125,20,1096667.14,1628,42.833333333333336,52.0,40.0,24114377.16,21614195.31,21614195.31,21579234.36
351230,2023,15232,Conchas - SP,93,12,1050815.93,1261,44.45454545454545,15.0,14.0,16400981.65,16126208.05,16063376.2,15728196.76
351240,2023,24514,Cordeirópolis - SP,97,15,974642.57,1183,52.25,,,50747369.14,37953401.63,40011563.6,35954665.05
351250,2023,5400,Coroados - SP,46,17,325183.89,525,2.0,,,7702600.0,7383678.45,7326678.45,6838951.82
351260,2023,4280,Coronel Macedo - SP,17,1,185398.35,206,5.333333333333333,2.0,2.0,6171220.23,6008488.61,5999022.38,5999022.38
351270,2023,4195,Corumbataí - SP,13,3,104827.2,120,5.0,2.0,2.0,7058098.08,6864602.39,6735587.49,6729361.99
351280,2023,59773,Cosmópolis - SP,345,110,2956897.07,4438,81.66666666666667,81.0,43.0,43458837.34,43023917.83,42068800.05,41523615.56
351290,2023,8719,Cosmorama - SP,69,11,647396.34,752,6.0,,,8859010.35,8506257.45,8502712.89,8339569.14
351300,2023,274413,Cotia - SP,1305,193,10463830.22,16981,221.0,646.3333333333334,167.58333333333334,161625222.34,160401865.59,153614804.79,128665782.4
351310,2023,33281,Cravinhos - SP,212,35,1886438.33,2122,103.41666666666667,15.0,13.0,34979580.76,30712980.0,30469207.58,30391463.25
351320,2023,9272,Cristais Paulista - SP,39,6,400138.09,461,13.545454545454545,,,8811400.0,8667104.97,8618728.66,8528448.35
351330,2023,2108,Cruzália - SP,15,2,130072.22,130,3.0,,,5151545.31,4735682.06,4553673.51,4515813.85
351340,2023,74961,Cruzeiro - SP,836,216,5364595.63,9301,311.5833333333333,141.0,101.0,66472943.3,64924503.23,64745407.28,59501298.91
351350,2023,112476,Cubatão - SP,691,171,4906858.23,9780,175.16666666666666,119.25,118.91666666666667,215194071.26,194709354.21,184901209.15,177050584.97
351360,2023,22110,Cunha - SP,140,29,1003767.5599999999,1736,22.75,40.0,25.0,12489420.0,12322287.26,12281310.41,12272334.58
351370,2023,31756,Descalvado - SP,217,39,1356698.06,1729,128.41666666666666,40.0,29.083333333333332,36106129.94,35072511.89,34704769.3,34379396.15
351380,2023,393237,Diadema - SP,2283,381,20565631.28,39455,207.91666666666666,749.25,685.9166666666666,411918738.34,402674586.56,374217570.99,361858622.34
351385,2023,1620,Dirce Reis - SP,21,3,192413.55,158,3.0,,,4063620.0,3301226.71,3265642.61,3253683.81
351390,2023,11158,Divinolândia - SP,71,9,593281.04,723,20.916666666666668,186.0,186.0,9375516.99,8828889.52,8487398.79,8405797.91
351400,2023,8759,Dobrada - SP,57,14,380595.31,641,11.166666666666666,,,6326000.0,6162553.04,6149101.16,5992141.3
351410,2023,24510,Dois Córregos - SP,137,18,1128162.37,1651,49.333333333333336,67.0,47.0,23272263.41,21903825.19,21524480.92,20562397.53
351420,2023,2207,Dolcinópolis - SP,24,3,186832.0,234,3.0,,,3445700.0,3238991.62,3369349.0,3342498.2
351430,2023,8096,Dourado - SP,88,19,596532.25,739,18.0,18.166666666666668,18.166666666666668,16002284.69,12734149.54,12534812.5,11811326.92
351440,2023,45474,Dracena - SP,474,148,3323197.14,4888,249.41666666666666,169.41666666666666,134.41666666666666,37166950.0,31469122.59,31361883.63,31187846.8
351450,2023,12328,Duartina - SP,105,15,937865.59,1372,48.833333333333336,87.0,77.0,10499977.42,10244904.09,10229269.72,10047597.94
351460,2023,9471,Dumont - SP,54,9,476108.33,539,5.0,,,8220370.0,7586341.52,7294807.61,7259177.12
351470,2023,6205,Echaporã - SP,66,24,682165.15,785,6.0,,,7338566.41,7319960.06,6963441.11,6947719.69
351480,2023,13069,Eldorado - SP,96,27,497583.95999999996,876,17.5,2.0,2.0,13604637.95,13431669.23,12900372.78,12513048.83
351490,2023,17699,Elias Fausto - SP,133,23,1113045.38,1405,14.833333333333334,6.0,6.0,19898738.0,19357285.17,18931539.69,18721198.53
351492,2023,3138,Elisiário - SP,23,6,180142.51,156,4.0,,,4024700.0,3485594.91,3470999.91,3469341.69
351495,2023,2323,Embaúba - SP,15,5,72587.55,90,4.375,,,5038619.29,4956133.01,4956133.01,4956133.01
351500,2023,250691,Embu das Artes - SP,1564,276,14827193.18,23150,163.66666666666666,320.5833333333333,105.58333333333333,171690740.32,170686324.71,168723482.43,163534999.2
351510,2023,66970,Embu-Guaçu - SP,316,65,2987055.31,4933,44.25,15.0,15.0,42381599.84,42363529.19,42363529.19,40617062.07
351512,2023,3014,Emilianópolis - SP,21,5,198421.97999999998,275,4.3,,,5584543.3,5550397.73,5453673.81,5404487.86
351515,2023,19566,Engenheiro Coelho - SP,126,18,1311804.41,1555,41.666666666666664,,,20196756.66,19546382.83,19169983.58,18138178.67
351518,2023,39816,Espírito Santo do Pinhal - SP,390,105,2421929.58,3700,172.5,427.9166666666667,348.9166666666667,45178491.53,43732666.49,42055360.86,41516498.27
