municipio_6,ano,populacao,nome_municipio,qtd_internacoes_uti,qtd_internacoes_icsap_uti,soma_val_tot,soma_dias_perm,qtd_estabelecimentos_media,qtd_leitos_existentes_media,qtd_leitos_sus_media,siops_dotacao_atualizada,siops_despesa_empenhada,siops_despesa_liquidada,siops_despesa_paga
350580,2022,21503,Bastos - SP,194,46,1176580.42,1879,36.0,30.0,23.0,,,,
350590,2022,58402,Batatais - SP,537,97,3684838.78,5326,284.0,146.83333333333334,108.41666666666667,,,,
350600,2022,379146,Bauru - SP,2610,495,17763226.53,33736,916.1666666666666,1584.75,824.0,,,,
350610,2022,76373,Bebedouro - SP,371,59,2773585.67,3533,335.3333333333333,166.0,85.16666666666667,,,,
350620,2022,2606,Bento de Abreu - SP,17,3,102337.77,147,3.0,,,,,,
350630,2022,11607,Bernardino de Campos - SP,115,19,725783.72,850,19.333333333333332,28.0,28.0,,,,
350635,2022,64188,Bertioga - SP,211,31,2082142.94,3346,66.58333333333333,58.333333333333336,56.5,,,,
350640,2022,7319,Bilac - SP,50,8,328137.52,573,11.166666666666666,36.0,35.0,,,,
350650,2022,118979,Birigui - SP,848,196,6084630.55,8433,252.66666666666666,170.0,77.66666666666667,,,,
350660,2022,29683,Biritiba Mirim - SP,165,26,1247772.21,2146,21.333333333333332,6.5,4.0,,,,
350670,2022,12978,Boa Esperança do Sul - SP,79,9,525995.25,800,21.0,16.0,15.0,,,,
350680,2022,11259,Bocaina - SP,70,14,538957.19,774,20.916666666666668,27.916666666666668,24.416666666666668,,,,
350690,2022,10460,Bofete - SP,71,12,768343.72,888,5.916666666666667,,,,,,
350700,2022,61081,Boituva - SP,180,25,1688913.17,2734,121.58333333333333,53.833333333333336,40.0,,,,
350710,2022,22006,Bom Jesus dos Perdões - SP,114,15,1119660.6,1315,20.333333333333332,13.0,13.0,,,,
350715,2022,3555,Bom Sucesso de Itararé - SP,26,3,184486.82,289,6.0,,,,,,
350720,2022,907,Borá - SP,13,3,130406.67000000001,186,2.0,,,,,,
350730,2022,4715,Boracéia - SP,27,3,247790.09,397,5.0,,,,,,
350740,2022,14226,Borborema - SP,120,24,781095.46,977,38.333333333333336,26.0,16.0,,,,
350745,2022,2713,Borebi - SP,25,6,166990.62,442,4.0,,,,,,
350750,2022,145155,Botucatu - SP,800,93,8247826.18,10375,717.9166666666666,951.3333333333334,660.8333333333334,,,,
350760,2022,176811,Bragança Paulista - SP,827,83,6967243.08,9252,452.1666666666667,466.8333333333333,252.33333333333334,,,,
350770,2022,5356,Braúna - SP,46,15,291509.75,430,3.0,,,,,,
350775,2022,2565,Brejo Alegre - SP,14,2,99538.95999999999,152,4.0,,,,,,
350780,2022,25201,Brodowski - SP,169,20,1385423.69,1622,55.666666666666664,,,,,,
350790,2022,23898,Brotas - SP,128,29,1159463.43,1821,78.16666666666667,42.0,36.0,,,,
350800,2022,20250,Buri - SP,98,13,833655.08,1262,20.333333333333332,,,,,,
350810,2022,17210,Buritama - SP,98,19,811610.9,933,29.083333333333332,42.75,26.25,,,,
350820,2022,4356,Buritizal - SP,38,5,192394.22,239,6.0,,,,,,
350830,2022,4299,Cabrália Paulista - SP,32,8,160014.39,318,4.0,,,,,,
350840,2022,47011,Cabreúva - SP,219,29,1353030.66,2356,44.916666666666664,65.0,12.0,,,,
350850,2022,96202,Caçapava - SP,512,117,3843943.79,5921,335.8333333333333,208.58333333333334,82.0,,,,
350860,2022,31564,Cachoeira Paulista - SP,181,33,1422547.2,2100,72.58333333333333,32.0,31.5,,,,
350870,2022,17101,Caconde - SP,80,7,712090.97,904,41.333333333333336,62.0,62.0,,,,
